STT,Bảng,Cột,Loại vấn đề,Mô tả trong tài liệu thiết kế,Thực tế trên CSDL UAT,Câu hỏi cần làm rõ,Trạng thái
356,EXAM_SESSIONS,CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
357,EXAM_SESSIONS,EXAM_END_DATE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(200 CHAR),VARCHAR2(800),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
358,EXAM_SESSIONS,EXAM_LOCATIONS,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1000 CHAR),NVARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
359,EXAM_SESSIONS,EXAM_START_DATE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(200 CHAR),VARCHAR2(800),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
360,EXAM_SESSIONS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
361,EXAM_SESSIONS,NOTI_DATE,Khac biet do CHAR/BYTE (khong sua),VARCHAR2(200 CHAR),VARCHAR2(800),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
362,EXAM_SESSIONS,ORGANIZING_UNIT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
363,EXAM_SESSIONS,SUBMISSION_METHODS,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
364,FORMS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
365,FORMS,FILE_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
366,FORMS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
367,FORMS,FORM_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
368,IDENTITY_INFO_C06S,BIRTH_YEAR,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(4 CHAR),NVARCHAR2(8),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
369,IDENTITY_INFO_C06S,COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
370,IDENTITY_INFO_C06S,COUPLE_COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
371,IDENTITY_INFO_C06S,COUPLE_FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
372,IDENTITY_INFO_C06S,COUPLE_IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
373,IDENTITY_INFO_C06S,COUPLE_IDENTITY_NUMBER_OLD,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
374,IDENTITY_INFO_C06S,CURRENT_COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
375,IDENTITY_INFO_C06S,CURRENT_DETAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
376,IDENTITY_INFO_C06S,CURRENT_DISTRICT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
377,IDENTITY_INFO_C06S,CURRENT_PROVINCE_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
378,IDENTITY_INFO_C06S,FATHER_COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
379,IDENTITY_INFO_C06S,FATHER_FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
380,IDENTITY_INFO_C06S,FATHER_IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
381,IDENTITY_INFO_C06S,FATHER_IDENTITY_NUMBER_OLD,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
382,IDENTITY_INFO_C06S,FIRST_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
383,IDENTITY_INFO_C06S,FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
384,IDENTITY_INFO_C06S,GENDER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
385,IDENTITY_INFO_C06S,HOMETOWN,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
386,IDENTITY_INFO_C06S,IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
387,IDENTITY_INFO_C06S,MOTHER_COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
388,IDENTITY_INFO_C06S,MOTHER_FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
389,IDENTITY_INFO_C06S,MOTHER_IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
390,IDENTITY_INFO_C06S,MOTHER_IDENTITY_NUMBER_OLD,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
391,IDENTITY_INFO_C06S,NATIONAL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
392,IDENTITY_INFO_C06S,PERMANENT_COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
393,IDENTITY_INFO_C06S,PERMANENT_DETAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
394,IDENTITY_INFO_C06S,PERMANENT_DISTRICT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
395,IDENTITY_INFO_C06S,PERMANENT_PROVINCE_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
396,IDENTITY_INFO_C06S,PLACE_OF_BIRTH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
397,IDENTITY_INFO_C06S,PLACE_OF_BIRTH_COUNTRY_CODE,Khac biet do CHAR/BYTE (khong sua),NCHAR(500 CHAR),NCHAR(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
398,IDENTITY_INFO_C06S,PLACE_OF_BIRTH_DISTRICT_CODE,Khac biet do CHAR/BYTE (khong sua),NCHAR(500 CHAR),NCHAR(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
399,IDENTITY_INFO_C06S,PLACE_OF_BIRTH_PROVINCE_CODE,Khac biet do CHAR/BYTE (khong sua),NCHAR(500 CHAR),NCHAR(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
400,IDENTITY_INFO_C06S,RELIGION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
401,LEGAL_DOCUMENTS,DOCUMENT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
402,LEGAL_DOCUMENTS,DOCUMENT_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
403,LEGAL_DOCUMENTS,FILE_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
404,LEGAL_DOCUMENTS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
405,LEGAL_DOCUMENTS,ISSUING_AGENCY,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
406,LEGAL_DOCUMENTS,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
407,LEGAL_DOCUMENTS,REASON,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
408,LEGAL_DOCUMENTS,SIGNATORY,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
409,NOTIFICATIONS,LINK,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
410,NOTIFICATION_CONFIGURATIONS,TRIGGER_EVENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
411,ORGANIZATIONS,ABBREVIATION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
412,ORGANIZATIONS,CHARTER_CAPITAL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
413,ORGANIZATIONS,EMAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(200 CHAR),NVARCHAR2(400),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
414,ORGANIZATIONS,ENGLISH_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
415,ORGANIZATIONS,FAX,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
416,ORGANIZATIONS,LEVEL_,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
417,ORGANIZATIONS,LICENSE_ISSUER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
418,ORGANIZATIONS,LICENSE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
419,ORGANIZATIONS,MOBILE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
420,ORGANIZATIONS,ORGANIZATION_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
421,ORGANIZATIONS,ORGANIZATION_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
422,ORGANIZATIONS,PHONE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
423,ORGANIZATIONS,REPRESENTATIVE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(510 CHAR),NVARCHAR2(1020),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
424,ORGANIZATIONS,SYNC_ID,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
425,ORGANIZATIONS,WEBSITE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
426,ORGANIZATION_REPORTS,BUSINESS_DEPARTMENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1100 CHAR),NVARCHAR2(2200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
427,ORGANIZATION_REPORTS,CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
428,ORGANIZATION_REPORTS,DEPARTMENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
429,ORGANIZATION_REPORTS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1100 CHAR),NVARCHAR2(2200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
430,ORGANIZATION_REPORTS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
431,ORGANIZATION_REPORTS,FILE_PATH_TERMINATION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
432,ORGANIZATION_REPORTS,FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(510 CHAR),NVARCHAR2(1020),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
433,ORGANIZATION_REPORTS,IDENTITY_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
434,ORGANIZATION_REPORTS,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1000 CHAR),NVARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
435,ORGANIZATION_REPORTS,SYNC_ID,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
436,ORGANIZATION_REPORTS,WORKPLACE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
437,ORGANIZATION_REPORT_LOG_SYNCS,CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(100 CHAR),NVARCHAR2(200),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
438,ORGANIZATION_REPORT_LOG_SYNCS,DEPARTMENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
439,ORGANIZATION_REPORT_LOG_SYNCS,FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(510 CHAR),NVARCHAR2(1020),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
440,ORGANIZATION_REPORT_LOG_SYNCS,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1000 CHAR),NVARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
441,ORGANIZATION_REPORT_YEARLYS,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
442,PERMISSIONS,ABBREVIATION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
443,PERMISSIONS,CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
444,PERMISSIONS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
445,PERMISSIONS,PARENT_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
446,PERMISSIONS,PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
447,PERMISSIONS,PERMISSION_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
448,POSITIONS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
449,POSITIONS,POSITION_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
450,POST_CERT_TRAINING_COURSES,COURSE_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
451,PROCEDURES,FEE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
452,PROCEDURES,IMAGE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
453,PROCEDURES,IMPLEMENTING_AGENCY,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
454,PROCEDURES,REASON,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
455,PROCEDURES,TARGET_AUDIENCE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
456,PROCEDURES,TITLE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
457,PROFESSIONALS,ADDRESS,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
458,PROFESSIONALS,AVATAR,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
459,PROFESSIONALS,BIRTH_YEAR,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(4 CHAR),NVARCHAR2(8),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
460,PROFESSIONALS,DEPARTMENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
461,PROFESSIONALS,EMAIL,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
462,PROFESSIONALS,FIRST_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
463,PROFESSIONALS,FULL_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
464,PROFESSIONALS,HOMETOWN,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(500 CHAR),NVARCHAR2(1000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
